                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90087,                0.56307,                0.93262,                0.91704,                  0.808,                0.88877,                0.54886,                 1.3547,                0.75506,                 1.1576,               0.003268,               0.003268,               0.003268
                     36,                0.89975,                 0.5579,                0.93058,                0.90887,                0.81287,                0.88473,                0.54817,                  1.347,                0.73608,                  1.151,                0.00307,                0.00307,                0.00307
                     37,                0.88779,                0.54905,                0.93082,                0.90548,                0.81229,                 0.8872,                0.54273,                 1.4158,                0.76333,                 1.1784,               0.002872,               0.002872,               0.002872
                     38,                0.88505,                0.54344,                0.92875,                0.94115,                0.81579,                0.90456,                 0.5663,                 1.3242,                0.72753,                   1.13,               0.002674,               0.002674,               0.002674
                     39,                0.87952,                0.53355,                0.92652,                0.91253,                0.81579,                0.89713,                0.56342,                 1.3484,                0.72474,                 1.1333,               0.002476,               0.002476,               0.002476
                     40,                 0.8618,                0.52354,                0.91952,                0.91885,                0.82456,                0.90188,                 0.5667,                 1.3219,                0.70926,                 1.1288,               0.002278,               0.002278,               0.002278
                     41,                0.86033,                0.52274,                0.92139,                0.89395,                0.84211,                0.90326,                0.55866,                  1.356,                0.72241,                 1.1363,                0.00208,                0.00208,                0.00208
                     42,                0.85407,                0.51798,                0.91442,                0.93905,                0.81094,                0.89382,                0.57582,                 1.2907,                0.73297,                 1.1162,               0.001882,               0.001882,               0.001882
                     43,                0.84222,                0.50816,                  0.912,                0.92582,                0.83626,                0.91187,                0.57774,                 1.2905,                0.70973,                 1.1116,               0.001684,               0.001684,               0.001684
                     44,                 0.8326,                0.49975,                0.90962,                0.89987,                0.83333,                0.89746,                0.57269,                 1.2873,                0.72221,                 1.1042,               0.001486,               0.001486,               0.001486
                     45,                0.82074,                0.49296,                0.90466,                 0.9064,                0.83626,                0.90704,                0.58801,                 1.2754,                0.70426,                 1.1102,               0.001288,               0.001288,               0.001288
                     46,                0.81925,                0.48871,                0.90668,                0.90895,                0.84654,                0.90931,                0.58181,                 1.2974,                0.67817,                 1.1261,                0.00109,                0.00109,                0.00109
                     47,                0.81847,                0.48196,                0.90563,                0.90413,                0.83626,                0.90437,                0.57955,                 1.2619,                0.68026,                 1.1031,               0.000892,               0.000892,               0.000892
                     48,                0.80408,                0.47909,                0.90379,                0.93368,                0.82327,                0.90543,                 0.5882,                 1.2574,                0.67144,                 1.0991,               0.000694,               0.000694,               0.000694
                     49,                0.80421,                0.47226,                0.89858,                0.90526,                0.84503,                0.90794,                0.58397,                  1.277,                0.68237,                 1.1107,               0.000496,               0.000496,               0.000496
