                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87592,                0.52718,                0.95887,                0.90079,                0.82456,                0.89181,                0.56899,                 1.3332,                0.76239,                 1.1653,               0.003268,               0.003268,               0.003268
                     36,                0.86739,                0.52248,                 0.9495,                0.90277,                 0.8145,                0.89787,                0.57886,                  1.297,                0.74977,                 1.1225,                0.00307,                0.00307,                0.00307
                     37,                 0.8701,                0.51893,                0.95531,                0.87777,                0.80994,                0.87946,                0.56167,                 1.3108,                0.73282,                 1.1678,               0.002872,               0.002872,               0.002872
                     38,                0.84617,                0.50732,                0.94477,                0.86241,                 0.8538,                0.89143,                0.58198,                 1.2693,                0.75103,                 1.1204,               0.002674,               0.002674,               0.002674
                     39,                0.84393,                0.50573,                0.93856,                0.87103,                0.84211,                0.88225,                0.56447,                 1.3207,                0.74143,                 1.1572,               0.002476,               0.002476,               0.002476
                     40,                0.82577,                0.48973,                0.94493,                0.90922,                0.80702,                0.88682,                 0.5647,                 1.3335,                0.76584,                 1.1531,               0.002278,               0.002278,               0.002278
                     41,                0.80941,                0.47892,                0.93533,                0.90895,                0.84655,                0.89973,                0.57224,                 1.2816,                0.69447,                 1.1361,                0.00208,                0.00208,                0.00208
                     42,                0.81373,                0.47921,                0.92874,                0.90976,                0.81287,                0.89084,                0.56671,                 1.3095,                0.73727,                 1.1403,               0.001882,               0.001882,               0.001882
                     43,                0.81508,                0.48016,                0.92982,                0.90117,                0.85965,                0.89495,                0.56796,                 1.2989,                 0.7308,                 1.1388,               0.001684,               0.001684,               0.001684
                     44,                0.77466,                0.46213,                0.92578,                0.90398,                0.85331,                0.91133,                0.59236,                 1.2741,                0.70062,                 1.1296,               0.001486,               0.001486,               0.001486
                     45,                0.78614,                0.46521,                0.92563,                0.88618,                0.86842,                0.90791,                0.58447,                 1.2876,                 0.6977,                  1.126,               0.001288,               0.001288,               0.001288
                     46,                0.77883,                0.45708,                0.92216,                 0.8796,                0.85446,                0.90318,                0.59527,                 1.2525,                0.68923,                 1.1182,                0.00109,                0.00109,                0.00109
                     47,                0.77042,                0.45038,                0.91736,                0.90312,                0.87223,                0.91256,                0.59603,                 1.2868,                0.67851,                 1.1388,               0.000892,               0.000892,               0.000892
                     48,                0.76138,                0.44014,                0.91724,                 0.8931,                0.87942,                0.90933,                 0.5982,                 1.2522,                  0.667,                 1.1195,               0.000694,               0.000694,               0.000694
                     49,                0.76894,                0.44199,                0.91442,                 0.8691,                0.88596,                0.91241,                0.59402,                 1.2642,                0.68489,                 1.1269,               0.000496,               0.000496,               0.000496
